Time(UTC+01:00),Futures Trading Pair,Direction,Leverage,Order Type,Order Qty (Cont.),Filled Qty (Cont.),Order Qty (Crypto),Filled Qty (Crypto),Order Qty (Amount),Filled Qty (Amount),Order Price,Average Filled Price,Closing PNL,Trading Fee,Fee-payment Crypto,Status
2025-02-26 06:38:11,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.362,8.362,8.362e-05,8.362e-05,0.0,0,USDT,FINISHED
2025-02-26 07:05:06,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.369,8.369,8.369e-05,8.369e-05,0.007,0,USDT,FINISHED
2025-02-26 07:05:07,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.369,8.369,8.369e-05,8.369e-05,0.0,0,USDT,FINISHED
2025-02-26 08:08:04,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.4,8.4,8.4e-05,8.4e-05,-0.031,0,USDT,FINISHED
2025-02-26 08:08:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.4,8.4,8.4e-05,8.4e-05,0.0,0,USDT,FINISHED
2025-02-26 08:14:05,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.42,8.42,8.42e-05,8.42e-05,0.02,0,USDT,FINISHED
2025-02-26 08:14:06,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.417,8.417,8.417e-05,8.417e-05,0.0,0,USDT,FINISHED
2025-02-26 08:17:11,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.381,8.381,8.381e-05,8.381e-05,0.036,0,USDT,FINISHED
2025-02-26 08:17:12,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.381,8.381,8.381e-05,8.381e-05,0.0,0,USDT,FINISHED
2025-02-26 08:23:04,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.394,8.394,8.394e-05,8.394e-05,0.013,0,USDT,FINISHED
2025-02-26 08:23:05,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.394,8.394,8.394e-05,8.394e-05,0.0,0,USDT,FINISHED
2025-02-26 08:27:09,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.373,8.373,8.373e-05,8.373e-05,0.021,0,USDT,FINISHED
2025-02-26 08:27:10,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.373,8.373,8.373e-05,8.373e-05,0.0,0,USDT,FINISHED
2025-02-26 08:52:02,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.336,8.336,8.336e-05,8.336e-05,-0.037,0,USDT,FINISHED
